TypeEtab,Genre,Niveau,RetardSco,Provenance,Handicap,SocialAid,CD_MIL,Moy,Result
Public,Male,Primary,2 years,Urban,No,Yes,6188,17.8,Pass
Public,Female,Tertiary,None,Rural,Yes,No,3141,19.2,Fail
Public,Male,Secondary,None,Urban,Yes,No,7617,10.0,Fail
Public,Female,Tertiary,1 year,Urban,No,No,3479,16.3,Fail
Public,Female,Tertiary,2 years,Suburban,No,No,7484,10.1,Fail
Private,Female,Tertiary,None,Urban,Yes,No,8421,17.9,Pass
Private,Female,Primary,1 year,Urban,Yes,No,5452,11.5,Pass
Public,Male,Primary,2 years,Suburban,No,Yes,6881,18.9,Pass
Private,Male,Secondary,1 year,Rural,No,No,7665,11.6,Fail
Private,Male,Secondary,2 years,Rural,Yes,Yes,3849,17.6,Pass
Private,Female,Tertiary,1 year,Suburban,Yes,No,8390,12.9,Fail
Private,Female,Primary,1 year,Suburban,Yes,Yes,7905,15.6,Pass
Private,Male,Primary,1 year,Urban,No,Yes,3489,16.1,Fail
Private,Female,Primary,None,Urban,No,No,5611,12.1,Pass
Private,Female,Secondary,None,Rural,Yes,Yes,3839,13.0,Pass
Public,Female,Primary,1 year,Rural,Yes,No,9527,11.1,Pass
Public,Male,Tertiary,2 years,Suburban,No,Yes,6878,10.1,Pass
Public,Male,Tertiary,1 year,Urban,No,Yes,7303,12.4,Pass
Private,Male,Tertiary,None,Suburban,No,No,1851,15.2,Fail
Private,Female,Primary,2 years,Rural,No,Yes,2687,17.1,Fail
Public,Male,Tertiary,None,Rural,Yes,Yes,7833,17.9,Pass
Private,Male,Tertiary,1 year,Suburban,Yes,Yes,3427,10.7,Fail
Private,Male,Secondary,None,Urban,No,No,5000,12.7,Pass
Public,Female,Secondary,None,Urban,No,Yes,6052,17.7,Fail
Public,Female,Primary,None,Suburban,No,Yes,3738,14.8,Pass
Public,Female,Primary,1 year,Rural,No,No,6732,11.8,Pass
Private,Female,Primary,None,Suburban,Yes,Yes,6387,13.9,Pass
Private,Female,Primary,1 year,Suburban,No,Yes,9002,12.7,Pass
Private,Male,Primary,1 year,Urban,Yes,No,6536,10.5,Fail
Public,Male,Secondary,None,Rural,Yes,Yes,4913,17.6,Fail
Public,Female,Secondary,2 years,Rural,Yes,Yes,2066,12.9,Fail
Private,Female,Secondary,None,Urban,Yes,No,8723,19.5,Fail
Public,Male,Tertiary,None,Rural,Yes,No,5380,18.9,Pass
Public,Female,Tertiary,None,Rural,No,No,5107,17.2,Fail
Private,Female,Secondary,2 years,Urban,Yes,Yes,6726,13.3,Fail
Public,Female,Secondary,2 years,Rural,No,Yes,4373,12.8,Pass
Public,Female,Primary,1 year,Rural,No,Yes,9945,14.8,Fail
Public,Female,Secondary,2 years,Suburban,Yes,Yes,3082,13.5,Pass
Private,Male,Primary,2 years,Rural,No,Yes,9967,19.0,Fail
Private,Male,Secondary,None,Suburban,No,Yes,7748,11.2,Fail
Public,Female,Primary,1 year,Suburban,No,Yes,1417,17.2,Pass
Private,Female,Secondary,1 year,Suburban,Yes,Yes,9306,16.1,Pass
Private,Male,Primary,2 years,Urban,Yes,Yes,9808,18.1,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,4974,15.4,Pass
Public,Male,Tertiary,None,Rural,No,No,4267,16.3,Pass
Private,Female,Primary,2 years,Suburban,No,Yes,1825,19.6,Fail
Public,Male,Primary,2 years,Rural,No,No,8668,10.9,Fail
Public,Male,Tertiary,1 year,Rural,No,Yes,6745,11.0,Fail
Private,Female,Secondary,2 years,Rural,Yes,No,1412,13.9,Fail
Public,Female,Primary,None,Rural,Yes,No,8543,14.7,Fail
Private,Male,Secondary,1 year,Rural,Yes,No,8587,12.0,Fail
Private,Female,Tertiary,1 year,Suburban,No,Yes,1728,10.8,Fail
Public,Male,Tertiary,2 years,Suburban,No,Yes,8164,10.2,Pass
Public,Female,Primary,None,Suburban,No,No,9867,17.6,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,6988,14.9,Fail
Private,Female,Tertiary,None,Urban,Yes,No,3504,18.4,Fail
Private,Male,Secondary,None,Suburban,No,Yes,3967,13.6,Fail
Private,Male,Tertiary,2 years,Suburban,Yes,No,3786,17.0,Pass
Public,Female,Primary,None,Suburban,Yes,No,2122,14.9,Fail
Public,Male,Secondary,1 year,Urban,No,No,5079,16.1,Pass
Public,Female,Secondary,2 years,Rural,Yes,No,2571,13.7,Fail
Private,Male,Primary,1 year,Urban,Yes,No,6073,10.8,Fail
Public,Female,Primary,None,Suburban,No,Yes,6104,19.5,Pass
Public,Male,Primary,None,Suburban,Yes,Yes,3143,18.4,Pass
Public,Male,Primary,2 years,Urban,No,No,7806,13.1,Pass
Public,Male,Tertiary,2 years,Rural,No,Yes,8357,19.6,Pass
Private,Male,Secondary,1 year,Urban,Yes,Yes,4440,13.0,Fail
Public,Male,Tertiary,1 year,Urban,No,No,4766,14.4,Fail
Public,Male,Primary,None,Suburban,Yes,Yes,6644,17.6,Pass
Public,Female,Tertiary,2 years,Urban,Yes,Yes,3914,13.1,Fail
Public,Female,Tertiary,None,Urban,Yes,No,5968,13.2,Fail
Private,Male,Secondary,None,Urban,Yes,Yes,6917,14.1,Fail
Private,Female,Secondary,1 year,Urban,Yes,No,9787,14.7,Pass
Public,Male,Secondary,1 year,Urban,Yes,No,1728,11.2,Fail
Private,Female,Primary,1 year,Urban,No,Yes,2365,10.2,Fail
Private,Female,Primary,2 years,Suburban,Yes,No,5492,19.2,Fail
Private,Female,Secondary,1 year,Suburban,Yes,Yes,1698,13.5,Fail
Private,Female,Tertiary,2 years,Suburban,No,No,8186,11.0,Pass
Public,Male,Secondary,None,Suburban,No,No,1395,17.6,Fail
Private,Female,Primary,2 years,Urban,Yes,No,8400,13.0,Pass
Private,Female,Tertiary,1 year,Urban,No,No,9082,11.8,Fail
Public,Female,Primary,2 years,Urban,Yes,Yes,5171,19.6,Pass
Public,Male,Secondary,2 years,Urban,No,Yes,5360,19.2,Pass
Public,Female,Secondary,1 year,Suburban,No,Yes,3502,11.1,Fail
Public,Male,Tertiary,1 year,Suburban,No,Yes,1717,19.0,Fail
Private,Male,Secondary,None,Urban,Yes,Yes,3782,18.9,Pass
Public,Female,Primary,2 years,Urban,No,Yes,5946,16.3,Fail
Private,Male,Primary,None,Urban,No,No,6486,15.3,Fail
Private,Female,Primary,None,Urban,Yes,Yes,9335,12.2,Fail
Public,Female,Tertiary,2 years,Rural,Yes,Yes,5980,11.2,Pass
Public,Female,Primary,None,Rural,No,Yes,8266,16.1,Fail
Private,Female,Secondary,2 years,Rural,No,Yes,5491,18.2,Pass
Private,Female,Tertiary,None,Rural,No,Yes,8192,16.9,Fail
Public,Female,Primary,None,Urban,Yes,Yes,6588,11.8,Fail
Public,Female,Primary,2 years,Urban,Yes,Yes,8651,12.9,Pass
Public,Male,Secondary,1 year,Urban,No,Yes,4636,15.5,Fail
Private,Male,Secondary,2 years,Rural,Yes,No,2167,16.2,Pass
Private,Female,Tertiary,1 year,Rural,No,Yes,2062,10.7,Pass
Public,Female,Primary,2 years,Urban,No,No,3156,16.1,Fail
Private,Male,Primary,2 years,Rural,Yes,Yes,8860,17.4,Pass
Public,Female,Secondary,1 year,Suburban,Yes,Yes,6161,11.8,Fail
Private,Male,Tertiary,1 year,Rural,Yes,Yes,6305,12.5,Fail
Private,Male,Secondary,2 years,Rural,Yes,Yes,7541,12.6,Fail
Public,Female,Secondary,2 years,Rural,No,Yes,5729,19.4,Fail
Public,Female,Tertiary,2 years,Rural,No,Yes,8330,14.1,Pass
Public,Male,Primary,1 year,Urban,Yes,Yes,6334,15.3,Pass
Private,Male,Primary,2 years,Suburban,No,Yes,9924,17.2,Fail
Private,Female,Primary,1 year,Urban,Yes,No,5330,13.7,Pass
Public,Female,Tertiary,None,Rural,Yes,No,9010,11.1,Pass
Private,Male,Tertiary,1 year,Rural,No,No,7801,16.5,Pass
Public,Male,Tertiary,None,Rural,Yes,Yes,5846,16.7,Fail
Private,Male,Tertiary,2 years,Rural,No,Yes,7731,12.6,Pass
Public,Female,Tertiary,2 years,Rural,Yes,Yes,8241,10.4,Fail
Private,Female,Secondary,1 year,Suburban,No,No,1953,16.7,Fail
Private,Female,Primary,None,Urban,Yes,No,3539,17.0,Pass
Private,Male,Tertiary,2 years,Rural,No,Yes,8056,10.3,Fail
Private,Male,Primary,2 years,Suburban,Yes,No,2542,16.9,Pass
Public,Female,Tertiary,None,Urban,Yes,No,6293,19.4,Fail
Private,Male,Primary,2 years,Urban,Yes,Yes,2191,11.8,Fail
Public,Male,Secondary,2 years,Urban,No,No,7313,15.2,Pass
Public,Male,Primary,1 year,Rural,Yes,No,7938,17.0,Pass
Public,Male,Primary,2 years,Rural,Yes,Yes,3681,12.3,Pass
Public,Male,Tertiary,None,Suburban,Yes,No,2540,17.5,Fail
Private,Female,Primary,2 years,Suburban,Yes,Yes,7172,18.7,Fail
Public,Female,Secondary,1 year,Urban,Yes,Yes,6541,18.1,Pass
Private,Female,Secondary,2 years,Rural,No,No,2365,12.6,Pass
Private,Female,Secondary,None,Urban,No,Yes,9691,18.0,Fail
Private,Female,Tertiary,2 years,Urban,No,No,9702,14.1,Fail
Private,Male,Tertiary,None,Suburban,Yes,No,8494,12.7,Pass
Public,Male,Tertiary,1 year,Rural,No,Yes,5312,11.7,Fail
Private,Male,Tertiary,2 years,Suburban,Yes,No,2324,19.1,Pass
Public,Female,Tertiary,2 years,Rural,No,Yes,4141,14.3,Pass
Private,Male,Secondary,1 year,Urban,No,No,8419,18.7,Pass
Private,Male,Primary,None,Urban,No,Yes,4486,11.6,Pass
Public,Male,Secondary,None,Urban,Yes,Yes,2810,17.7,Pass
Private,Female,Tertiary,2 years,Rural,Yes,Yes,7588,11.1,Fail
Private,Male,Secondary,None,Urban,Yes,Yes,3923,10.2,Fail
Private,Male,Primary,None,Rural,No,Yes,6301,20.0,Fail
Private,Female,Tertiary,2 years,Rural,Yes,Yes,5186,10.7,Fail
Private,Female,Secondary,None,Suburban,Yes,Yes,9905,14.6,Pass
Public,Male,Secondary,None,Urban,No,Yes,6977,18.8,Pass
Private,Female,Primary,2 years,Suburban,No,No,5268,18.2,Fail
Private,Male,Tertiary,2 years,Rural,Yes,No,5748,14.7,Fail
Public,Female,Tertiary,None,Urban,No,No,5849,16.1,Pass
Private,Male,Primary,2 years,Urban,Yes,No,4709,16.3,Fail
Public,Male,Primary,None,Rural,No,No,7619,11.1,Pass
Private,Female,Primary,None,Urban,Yes,No,9647,12.8,Fail
Private,Female,Primary,None,Rural,Yes,No,4072,13.0,Fail
Public,Female,Tertiary,None,Urban,No,No,7530,13.8,Pass
Private,Female,Tertiary,2 years,Urban,No,Yes,1504,12.7,Fail
Private,Male,Secondary,2 years,Rural,Yes,No,2214,12.5,Fail
Public,Female,Secondary,1 year,Suburban,No,No,2531,13.5,Pass
Public,Male,Secondary,2 years,Rural,Yes,No,8576,13.8,Pass
Private,Male,Tertiary,1 year,Urban,No,No,1823,14.9,Fail
Public,Male,Tertiary,None,Rural,Yes,Yes,1928,11.7,Pass
Private,Female,Tertiary,2 years,Rural,No,Yes,6029,17.9,Pass
Public,Male,Secondary,None,Rural,Yes,No,1133,18.6,Fail
Private,Male,Primary,1 year,Urban,No,No,3105,12.5,Pass
Public,Female,Primary,2 years,Suburban,Yes,Yes,4627,11.2,Pass
Public,Male,Primary,2 years,Suburban,Yes,Yes,7316,17.2,Pass
Public,Male,Primary,2 years,Urban,No,Yes,2852,19.2,Fail
Public,Male,Primary,2 years,Suburban,No,No,5910,10.4,Fail
Public,Female,Tertiary,None,Rural,Yes,Yes,5175,10.1,Pass
Public,Male,Secondary,2 years,Rural,Yes,Yes,6348,11.8,Fail
Public,Male,Primary,1 year,Suburban,No,Yes,7190,16.8,Fail
Public,Male,Primary,2 years,Suburban,No,Yes,2256,19.6,Pass
Public,Female,Primary,1 year,Suburban,Yes,Yes,4376,17.5,Fail
Private,Female,Tertiary,1 year,Rural,Yes,Yes,6645,15.7,Fail
Public,Female,Primary,None,Rural,Yes,No,4486,17.0,Pass
Private,Male,Secondary,2 years,Urban,No,No,4584,12.3,Pass
Public,Male,Tertiary,1 year,Urban,No,Yes,9053,16.9,Fail
Private,Male,Tertiary,2 years,Rural,Yes,Yes,4330,13.2,Pass
Private,Male,Tertiary,None,Rural,No,Yes,3703,12.2,Fail
Public,Male,Primary,None,Urban,Yes,No,9662,12.4,Pass
Public,Female,Primary,2 years,Urban,Yes,No,9120,16.7,Fail
Private,Male,Primary,1 year,Rural,No,No,8114,17.7,Pass
Private,Male,Primary,None,Suburban,No,No,2353,15.8,Pass
Public,Female,Secondary,1 year,Rural,No,Yes,6063,10.6,Pass
Public,Female,Tertiary,1 year,Suburban,Yes,No,9549,10.4,Fail
Public,Male,Primary,2 years,Rural,No,Yes,8575,12.2,Fail
Private,Female,Secondary,None,Urban,No,Yes,1667,12.9,Fail
Public,Female,Tertiary,2 years,Urban,No,Yes,5468,14.0,Pass
Public,Female,Tertiary,2 years,Urban,Yes,Yes,7819,10.8,Fail
Public,Male,Tertiary,2 years,Rural,Yes,Yes,4719,17.3,Pass
Public,Female,Primary,1 year,Rural,Yes,Yes,3745,17.1,Pass
Public,Male,Tertiary,2 years,Rural,No,Yes,8483,13.5,Pass
Private,Female,Primary,None,Suburban,Yes,Yes,1539,15.6,Pass
Private,Male,Secondary,1 year,Rural,Yes,No,5964,11.0,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,Yes,5835,14.2,Fail
Public,Male,Secondary,None,Suburban,No,No,4775,18.6,Fail
Private,Female,Primary,2 years,Suburban,Yes,Yes,7042,16.6,Pass
Public,Female,Primary,2 years,Urban,Yes,Yes,8102,11.0,Fail
Private,Female,Primary,2 years,Suburban,Yes,Yes,8312,18.5,Fail
Public,Male,Tertiary,1 year,Suburban,No,Yes,6320,16.8,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,7132,14.5,Pass
Private,Female,Secondary,None,Suburban,Yes,No,8891,16.9,Fail
Public,Male,Primary,2 years,Rural,Yes,Yes,3779,11.7,Pass
Private,Female,Secondary,2 years,Rural,No,No,1924,15.5,Pass
Public,Male,Primary,1 year,Urban,No,Yes,2581,16.2,Fail
Private,Female,Primary,2 years,Urban,Yes,No,8714,19.3,Pass
Public,Male,Secondary,None,Suburban,Yes,No,4324,10.7,Pass
Public,Male,Primary,None,Suburban,Yes,No,6713,13.7,Pass
Public,Female,Secondary,2 years,Suburban,No,Yes,8026,19.4,Pass
Private,Male,Tertiary,None,Urban,No,No,1255,12.2,Fail
Public,Female,Secondary,None,Suburban,No,No,5804,18.1,Fail
Public,Female,Secondary,2 years,Rural,No,Yes,2838,10.0,Pass
Public,Female,Primary,None,Rural,Yes,Yes,1009,10.3,Fail
Private,Female,Secondary,None,Suburban,Yes,Yes,3871,13.3,Pass
Public,Male,Tertiary,2 years,Urban,No,No,9989,17.7,Pass
Private,Male,Tertiary,1 year,Rural,No,Yes,8409,11.0,Pass
Private,Male,Tertiary,1 year,Urban,No,Yes,8418,13.8,Fail
Private,Female,Tertiary,2 years,Rural,Yes,No,6124,11.3,Pass
Public,Female,Secondary,1 year,Suburban,No,Yes,2015,12.2,Pass
Public,Male,Tertiary,1 year,Suburban,No,Yes,3193,15.0,Fail
Private,Male,Secondary,1 year,Urban,No,Yes,9415,13.2,Fail
Public,Female,Secondary,1 year,Suburban,No,Yes,8449,12.1,Pass
Public,Female,Primary,2 years,Urban,No,No,5158,13.9,Fail
Private,Female,Secondary,1 year,Urban,Yes,Yes,4925,17.0,Pass
Private,Male,Secondary,1 year,Rural,No,No,7970,11.2,Pass
Public,Female,Primary,2 years,Rural,No,Yes,7938,14.8,Pass
Private,Male,Tertiary,2 years,Suburban,Yes,No,5784,12.7,Pass
Public,Female,Tertiary,1 year,Urban,No,No,5000,13.8,Pass
Private,Male,Secondary,None,Rural,No,Yes,2633,18.2,Fail
Public,Female,Primary,2 years,Suburban,No,Yes,8266,19.3,Fail
Public,Male,Secondary,2 years,Suburban,Yes,Yes,9702,12.4,Pass
Private,Male,Secondary,1 year,Rural,No,No,1384,16.3,Pass
Public,Male,Tertiary,None,Suburban,Yes,No,1404,16.8,Fail
Public,Female,Primary,2 years,Rural,Yes,Yes,9175,18.4,Pass
Private,Male,Secondary,2 years,Urban,No,No,3000,19.0,Pass
Public,Male,Tertiary,2 years,Suburban,Yes,Yes,6989,14.7,Pass
Public,Female,Secondary,None,Urban,No,Yes,2460,19.8,Fail
Public,Male,Tertiary,2 years,Rural,Yes,Yes,8190,19.7,Pass
Private,Male,Primary,2 years,Urban,Yes,Yes,8140,15.1,Pass
Private,Female,Secondary,None,Rural,Yes,No,4636,15.4,Pass
Private,Male,Primary,2 years,Suburban,No,Yes,5809,16.7,Pass
Private,Female,Tertiary,None,Suburban,No,No,5178,13.7,Pass
Private,Male,Primary,None,Suburban,Yes,Yes,8245,16.6,Fail
Public,Female,Primary,None,Urban,No,Yes,7600,15.1,Fail
Public,Male,Primary,1 year,Urban,Yes,No,6997,10.4,Fail
Public,Male,Secondary,2 years,Urban,No,No,3048,18.5,Fail
Private,Male,Tertiary,2 years,Rural,Yes,Yes,5780,19.4,Fail
Public,Female,Primary,2 years,Suburban,No,Yes,1716,10.3,Pass
Private,Male,Secondary,None,Urban,Yes,No,8939,17.9,Fail
Public,Male,Tertiary,1 year,Rural,No,No,6565,13.9,Pass
Private,Female,Tertiary,None,Urban,No,No,5544,15.9,Fail
Public,Female,Tertiary,2 years,Rural,No,Yes,5976,15.0,Fail
Public,Female,Primary,None,Suburban,No,Yes,4419,15.5,Pass
Private,Male,Primary,1 year,Urban,No,Yes,8239,15.0,Pass
Public,Male,Primary,2 years,Suburban,Yes,Yes,1249,18.5,Pass
Public,Male,Tertiary,None,Urban,Yes,No,9865,16.8,Fail
Private,Female,Tertiary,1 year,Rural,No,No,1770,14.1,Pass
Public,Female,Primary,None,Suburban,No,No,5363,16.9,Fail
Public,Male,Primary,None,Urban,Yes,No,2077,19.7,Fail
Private,Male,Tertiary,2 years,Urban,No,No,9427,10.8,Pass
Private,Female,Tertiary,1 year,Suburban,No,No,9580,13.9,Pass
Private,Female,Secondary,None,Rural,No,Yes,8901,18.7,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,5858,17.4,Fail
Private,Male,Primary,2 years,Urban,Yes,No,7544,19.3,Pass
Public,Female,Tertiary,2 years,Suburban,No,No,5719,10.4,Pass
Private,Female,Tertiary,2 years,Suburban,Yes,Yes,3814,18.6,Pass
Private,Female,Secondary,1 year,Rural,Yes,No,4374,17.9,Fail
Public,Female,Tertiary,1 year,Rural,Yes,Yes,2252,18.2,Pass
Public,Male,Primary,None,Suburban,Yes,Yes,7996,16.0,Fail
Public,Female,Secondary,1 year,Rural,No,No,5673,10.5,Fail
Public,Male,Tertiary,2 years,Rural,Yes,No,5530,15.4,Pass
Public,Male,Tertiary,None,Urban,No,Yes,7881,14.1,Pass
Private,Female,Primary,1 year,Rural,No,Yes,7949,15.3,Pass
Public,Female,Tertiary,2 years,Suburban,Yes,No,7241,17.4,Fail
Private,Male,Secondary,2 years,Suburban,Yes,Yes,9017,16.0,Fail
Public,Female,Secondary,None,Urban,No,No,7941,12.9,Fail
Private,Male,Tertiary,2 years,Urban,No,Yes,8002,16.0,Fail
Public,Female,Tertiary,1 year,Urban,Yes,No,2331,10.8,Fail
Private,Male,Tertiary,2 years,Suburban,Yes,Yes,5261,10.1,Pass
Private,Male,Tertiary,None,Suburban,No,No,8648,14.0,Pass
Private,Male,Secondary,2 years,Rural,Yes,No,6115,17.6,Pass
Private,Female,Primary,2 years,Urban,Yes,No,5637,18.2,Pass
Private,Male,Secondary,1 year,Rural,No,No,5854,15.5,Pass
Private,Male,Tertiary,1 year,Rural,No,No,4177,18.7,Fail
Private,Female,Tertiary,1 year,Suburban,No,Yes,8730,11.3,Pass
Private,Female,Secondary,1 year,Rural,No,Yes,3180,19.6,Fail
Private,Male,Secondary,2 years,Urban,No,No,5892,19.2,Fail
Private,Male,Tertiary,1 year,Urban,No,Yes,8043,16.0,Fail
Public,Female,Secondary,2 years,Suburban,Yes,Yes,1137,10.6,Fail
Private,Male,Tertiary,1 year,Suburban,No,No,7327,14.5,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,4472,11.8,Pass
Public,Female,Tertiary,1 year,Urban,No,Yes,6449,16.3,Fail
Private,Female,Secondary,2 years,Suburban,Yes,Yes,3832,11.9,Pass
Private,Male,Tertiary,1 year,Urban,Yes,No,4579,14.8,Pass
Public,Female,Primary,2 years,Rural,No,Yes,6971,12.1,Pass
Public,Male,Primary,1 year,Suburban,No,Yes,5164,11.8,Pass
Private,Male,Secondary,1 year,Suburban,Yes,No,8941,12.5,Fail
Public,Female,Primary,None,Suburban,Yes,Yes,6569,10.3,Pass
Private,Female,Tertiary,1 year,Urban,No,No,5300,17.2,Pass
Private,Female,Secondary,2 years,Rural,Yes,Yes,7269,13.1,Pass
Private,Female,Secondary,None,Suburban,Yes,No,4818,17.0,Fail
Public,Male,Tertiary,2 years,Rural,Yes,No,2906,16.5,Fail
Private,Male,Tertiary,2 years,Suburban,No,No,7254,10.7,Pass
Private,Female,Tertiary,None,Urban,Yes,Yes,1760,13.1,Pass
Public,Male,Secondary,1 year,Rural,Yes,No,8830,15.7,Fail
Private,Female,Tertiary,None,Rural,No,Yes,8350,19.2,Pass
Private,Male,Primary,2 years,Suburban,Yes,Yes,7238,14.0,Fail
Private,Male,Secondary,1 year,Rural,Yes,Yes,7090,15.0,Fail
Private,Male,Tertiary,None,Urban,Yes,Yes,7031,17.5,Fail
Private,Female,Secondary,2 years,Rural,No,No,8687,18.0,Fail
Private,Male,Primary,1 year,Rural,No,No,9472,19.2,Pass
Public,Male,Primary,2 years,Rural,No,No,2887,15.0,Fail
Private,Male,Tertiary,1 year,Rural,Yes,Yes,4266,11.9,Pass
Private,Male,Secondary,1 year,Suburban,Yes,No,1666,17.6,Pass
Public,Female,Tertiary,None,Suburban,Yes,Yes,5188,11.3,Pass
Private,Male,Secondary,1 year,Rural,No,Yes,1671,14.2,Fail
Private,Female,Tertiary,2 years,Rural,No,No,7777,16.3,Fail
Public,Female,Tertiary,1 year,Urban,Yes,No,8570,16.9,Pass
Public,Male,Secondary,2 years,Suburban,No,Yes,8956,17.3,Fail
Public,Male,Secondary,1 year,Suburban,No,Yes,6124,11.9,Fail
Public,Female,Primary,1 year,Suburban,Yes,No,6585,19.8,Pass
Public,Female,Primary,None,Rural,Yes,No,5777,11.8,Pass
Public,Female,Secondary,1 year,Suburban,No,No,4900,11.0,Pass
Public,Male,Primary,1 year,Urban,No,Yes,7677,16.6,Fail
Private,Male,Primary,2 years,Urban,No,Yes,7981,19.1,Fail
Private,Female,Secondary,2 years,Urban,Yes,No,7376,15.6,Fail
Private,Female,Secondary,2 years,Urban,No,Yes,1523,16.0,Pass
Public,Female,Secondary,1 year,Urban,Yes,Yes,3393,15.4,Fail
Private,Male,Tertiary,2 years,Suburban,No,No,3593,10.4,Fail
Public,Male,Secondary,2 years,Rural,No,No,8240,16.8,Fail
Private,Female,Secondary,1 year,Rural,Yes,Yes,7937,13.6,Pass
Private,Male,Secondary,2 years,Rural,Yes,Yes,7190,19.4,Pass
Private,Female,Primary,None,Rural,No,No,6240,11.9,Fail
Private,Male,Secondary,None,Suburban,No,No,7493,13.0,Pass
Public,Female,Primary,2 years,Suburban,Yes,No,3878,15.0,Pass
Public,Male,Tertiary,2 years,Suburban,No,No,5143,14.8,Fail
Private,Male,Secondary,2 years,Urban,Yes,No,4644,14.0,Pass
Public,Male,Secondary,1 year,Rural,Yes,Yes,5432,13.1,Pass
Public,Male,Primary,None,Suburban,No,No,2276,11.5,Pass
Private,Male,Tertiary,None,Suburban,Yes,No,6811,18.2,Fail
Public,Male,Secondary,2 years,Suburban,Yes,Yes,1302,14.5,Pass
Public,Male,Tertiary,2 years,Rural,No,No,1638,15.7,Pass
Public,Female,Tertiary,1 year,Rural,No,Yes,1055,15.5,Fail
Public,Female,Secondary,1 year,Urban,No,No,9717,15.8,Pass
Private,Female,Tertiary,None,Urban,No,Yes,9150,17.0,Pass
Private,Male,Tertiary,1 year,Urban,No,Yes,3125,16.3,Pass
Public,Male,Secondary,None,Rural,No,No,1364,12.7,Pass
Private,Male,Primary,2 years,Urban,No,No,7809,15.5,Fail
Private,Female,Secondary,2 years,Urban,No,Yes,5621,12.4,Pass
Private,Female,Tertiary,None,Suburban,No,Yes,6126,15.9,Pass
Public,Female,Secondary,2 years,Rural,Yes,No,6122,14.3,Fail
Public,Female,Primary,1 year,Urban,No,Yes,2646,10.4,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,1918,17.3,Fail
Private,Female,Tertiary,2 years,Rural,No,Yes,3797,12.7,Pass
Public,Male,Primary,None,Urban,No,No,7506,19.2,Fail
Private,Female,Primary,1 year,Rural,Yes,Yes,6870,12.8,Pass
Public,Male,Tertiary,1 year,Rural,Yes,No,2531,20.0,Fail
Private,Female,Primary,2 years,Rural,Yes,Yes,9172,14.6,Fail
Public,Female,Secondary,2 years,Urban,Yes,Yes,4345,10.3,Pass
Public,Male,Primary,1 year,Urban,No,No,8673,10.8,Pass
Public,Male,Secondary,1 year,Urban,No,No,7949,10.8,Fail
Public,Male,Tertiary,None,Rural,No,No,7882,10.6,Pass
Private,Female,Tertiary,2 years,Urban,No,Yes,2906,12.7,Fail
Public,Female,Tertiary,2 years,Suburban,No,Yes,4086,13.2,Fail
Private,Male,Tertiary,1 year,Rural,No,No,9152,11.1,Pass
Public,Female,Tertiary,None,Urban,Yes,Yes,6750,14.4,Fail
Public,Male,Primary,1 year,Rural,No,No,9905,13.7,Fail
Private,Female,Primary,2 years,Urban,Yes,Yes,2062,16.4,Pass
Private,Female,Tertiary,2 years,Rural,No,No,2976,12.0,Pass
Private,Female,Primary,2 years,Suburban,No,No,2296,19.1,Fail
Public,Male,Primary,2 years,Rural,Yes,Yes,7229,15.2,Fail
Public,Female,Tertiary,None,Rural,No,No,8641,16.2,Fail
Private,Male,Primary,2 years,Rural,No,No,1125,10.4,Fail
Public,Male,Tertiary,1 year,Urban,Yes,No,5632,15.6,Fail
Private,Male,Tertiary,None,Rural,Yes,No,7288,13.7,Fail
Public,Male,Tertiary,None,Urban,No,No,4596,19.2,Fail
Public,Male,Tertiary,2 years,Rural,Yes,Yes,7168,18.9,Fail
Public,Male,Primary,None,Urban,Yes,No,8561,16.4,Pass
Private,Male,Primary,2 years,Urban,Yes,Yes,9258,17.7,Pass
Public,Male,Secondary,None,Urban,No,No,1232,16.4,Fail
Private,Male,Secondary,None,Urban,Yes,Yes,7371,10.2,Pass
Private,Female,Tertiary,1 year,Rural,No,No,5206,17.0,Pass
Public,Male,Secondary,1 year,Rural,Yes,Yes,8943,11.8,Fail
Private,Female,Primary,1 year,Urban,Yes,No,7891,16.8,Pass
Private,Male,Primary,None,Urban,Yes,No,7738,10.1,Pass
Public,Female,Secondary,1 year,Urban,Yes,Yes,3472,13.1,Pass
Private,Female,Secondary,1 year,Suburban,No,Yes,3739,15.2,Pass
Private,Female,Primary,1 year,Suburban,No,Yes,6401,13.3,Pass
Public,Female,Secondary,None,Rural,No,No,2761,16.9,Fail
Public,Female,Primary,2 years,Suburban,Yes,Yes,1876,15.2,Fail
Public,Female,Primary,1 year,Suburban,Yes,No,4812,19.6,Pass
